config,margin,actual_events,hit,false_alarm,abs_err_sum,recall,precision,F1,day_err
3년(2021~23)|기존모델|26℃+,0.25,69,17,8,16.0,0.2463768115942029,0.68,0.3617021276595745,0.9411764705882353
3년(2021~23)|기존모델|26℃+,0.5,69,31,17,47.0,0.4492753623188406,0.6458333333333334,0.5299145299145299,1.5161290322580645
3년(2021~23)|기존모델|26℃+,0.75,69,36,22,55.0,0.5217391304347826,0.6206896551724138,0.5669291338582677,1.5277777777777777
3년(2021~23)|기존모델|26℃+,1.0,69,42,33,74.0,0.6086956521739131,0.56,0.5833333333333334,1.7619047619047619
3년(2021~23)|기존모델|26℃+,1.25,69,46,48,93.0,0.6666666666666666,0.48936170212765956,0.5644171779141104,2.0217391304347827
3년(2021~23)|기존모델|26℃+,1.5,69,48,58,101.0,0.6956521739130435,0.4528301886792453,0.5485714285714286,2.1041666666666665
3년(2021~23)|기존모델|여름전체,0.0,69,12,2,32.0,0.17391304347826086,0.8571428571428571,0.2891566265060241,2.6666666666666665
3년(2021~23)|기존모델|여름전체,0.25,69,22,10,19.0,0.3188405797101449,0.6875,0.43564356435643564,0.8636363636363636
3년(2021~23)|기존모델|여름전체,0.5,69,32,18,48.0,0.463768115942029,0.64,0.5378151260504201,1.5
3년(2021~23)|기존모델|여름전체,0.75,69,37,25,67.0,0.5362318840579711,0.5967741935483871,0.5648854961832062,1.8108108108108107
3년(2021~23)|기존모델|여름전체,1.0,69,44,41,90.0,0.6376811594202898,0.5176470588235295,0.5714285714285714,2.0454545454545454
3년(2021~23)|기존모델|여름전체,1.25,69,46,55,101.0,0.6666666666666666,0.45544554455445546,0.5411764705882353,2.1956521739130435
3년(2021~23)|기존모델|여름전체,1.5,69,48,69,108.0,0.6956521739130435,0.41025641025641024,0.5161290322580645,2.25
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.0,69,3,1,7.0,0.043478260869565216,0.75,0.0821917808219178,2.3333333333333335
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.25,69,17,5,20.0,0.2463768115942029,0.7727272727272727,0.37362637362637363,1.1764705882352942
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.5,69,26,12,37.0,0.37681159420289856,0.6842105263157895,0.48598130841121495,1.4230769230769231
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.75,69,36,16,61.0,0.5217391304347826,0.6923076923076923,0.5950413223140496,1.6944444444444444
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.0,69,40,26,86.0,0.5797101449275363,0.6060606060606061,0.5925925925925926,2.15
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.25,69,44,39,92.0,0.6376811594202898,0.5301204819277109,0.5789473684210527,2.090909090909091
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.5,69,48,53,112.0,0.6956521739130435,0.4752475247524752,0.5647058823529412,2.3333333333333335
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.0,69,0,2,0.0,0.0,0.0,0.0,
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.25,69,18,4,21.0,0.2608695652173913,0.8181818181818182,0.3956043956043956,1.1666666666666667
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.5,69,24,7,31.0,0.34782608695652173,0.7741935483870968,0.48,1.2916666666666667
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.75,69,33,12,62.0,0.4782608695652174,0.7333333333333333,0.5789473684210527,1.878787878787879
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.0,69,36,20,71.0,0.5217391304347826,0.6428571428571429,0.576,1.9722222222222223
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.25,69,43,35,90.0,0.6231884057971014,0.5512820512820513,0.5850340136054422,2.0930232558139537
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.5,69,48,44,107.0,0.6956521739130435,0.5217391304347826,0.5962732919254659,2.2291666666666665
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.0,69,2,7,2.0,0.028985507246376812,0.2222222222222222,0.05128205128205128,1.0
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.25,69,9,11,10.0,0.13043478260869565,0.45,0.20224719101123595,1.1111111111111112
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.5,69,25,15,39.0,0.36231884057971014,0.625,0.45871559633027525,1.56
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.75,69,32,20,55.0,0.463768115942029,0.6153846153846154,0.5289256198347108,1.71875
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.0,69,35,23,67.0,0.5072463768115942,0.603448275862069,0.5511811023622047,1.9142857142857144
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.25,69,42,34,87.0,0.6086956521739131,0.5526315789473685,0.5793103448275863,2.0714285714285716
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.5,69,47,48,101.0,0.6811594202898551,0.49473684210526314,0.573170731707317,2.148936170212766
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.0,69,3,1,7.0,0.043478260869565216,0.75,0.0821917808219178,2.3333333333333335
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.25,69,17,6,20.0,0.2463768115942029,0.7391304347826086,0.3695652173913043,1.1764705882352942
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.5,69,26,12,37.0,0.37681159420289856,0.6842105263157895,0.48598130841121495,1.4230769230769231
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.75,69,36,16,61.0,0.5217391304347826,0.6923076923076923,0.5950413223140496,1.6944444444444444
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.0,69,40,25,86.0,0.5797101449275363,0.6153846153846154,0.5970149253731343,2.15
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.25,69,44,37,92.0,0.6376811594202898,0.5432098765432098,0.5866666666666667,2.090909090909091
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.5,69,47,52,107.0,0.6811594202898551,0.47474747474747475,0.5595238095238095,2.276595744680851
장기(2012~23)|기존+기간평균패턴|20℃+,0.0,69,10,6,14.0,0.14492753623188406,0.625,0.23529411764705882,1.4
장기(2012~23)|기존+기간평균패턴|20℃+,0.25,69,19,10,20.0,0.2753623188405797,0.6551724137931034,0.3877551020408163,1.0526315789473684
장기(2012~23)|기존+기간평균패턴|20℃+,0.5,69,32,19,50.0,0.463768115942029,0.6274509803921569,0.5333333333333333,1.5625
장기(2012~23)|기존+기간평균패턴|20℃+,0.75,69,39,23,74.0,0.5652173913043478,0.6290322580645161,0.5954198473282443,1.8974358974358974
장기(2012~23)|기존+기간평균패턴|20℃+,1.0,69,44,38,89.0,0.6376811594202898,0.5365853658536586,0.5827814569536424,2.022727272727273
장기(2012~23)|기존+기간평균패턴|20℃+,1.25,69,47,48,104.0,0.6811594202898551,0.49473684210526314,0.573170731707317,2.2127659574468086
장기(2012~23)|기존+기간평균패턴|20℃+,1.5,69,48,53,111.0,0.6956521739130435,0.4752475247524752,0.5647058823529412,2.3125
장기(2012~23)|기존+기간평균패턴|24℃+,0.0,69,8,5,13.0,0.11594202898550725,0.6153846153846154,0.1951219512195122,1.625
장기(2012~23)|기존+기간평균패턴|24℃+,0.25,69,20,10,27.0,0.2898550724637681,0.6666666666666666,0.40404040404040403,1.35
장기(2012~23)|기존+기간평균패턴|24℃+,0.5,69,31,14,46.0,0.4492753623188406,0.6888888888888889,0.543859649122807,1.4838709677419355
장기(2012~23)|기존+기간평균패턴|24℃+,0.75,69,40,22,77.0,0.5797101449275363,0.6451612903225806,0.6106870229007634,1.925
장기(2012~23)|기존+기간평균패턴|24℃+,1.0,69,44,29,89.0,0.6376811594202898,0.6027397260273972,0.6197183098591549,2.022727272727273
장기(2012~23)|기존+기간평균패턴|24℃+,1.25,69,48,41,100.0,0.6956521739130435,0.5393258426966292,0.6075949367088608,2.0833333333333335
장기(2012~23)|기존+기간평균패턴|24℃+,1.5,69,50,54,111.0,0.7246376811594203,0.4807692307692308,0.5780346820809249,2.22
장기(2012~23)|기존+기간평균패턴|26℃+,0.0,69,14,12,26.0,0.2028985507246377,0.5384615384615384,0.29473684210526313,1.8571428571428572
장기(2012~23)|기존+기간평균패턴|26℃+,0.25,69,23,15,45.0,0.3333333333333333,0.6052631578947368,0.42990654205607476,1.9565217391304348
장기(2012~23)|기존+기간평균패턴|26℃+,0.5,69,32,18,61.0,0.463768115942029,0.64,0.5378151260504201,1.90625
장기(2012~23)|기존+기간평균패턴|26℃+,0.75,69,36,20,71.0,0.5217391304347826,0.6428571428571429,0.576,1.9722222222222223
장기(2012~23)|기존+기간평균패턴|26℃+,1.0,69,41,26,77.0,0.5942028985507246,0.6119402985074627,0.6029411764705882,1.8780487804878048
장기(2012~23)|기존+기간평균패턴|26℃+,1.25,69,42,34,79.0,0.6086956521739131,0.5526315789473685,0.5793103448275863,1.880952380952381
장기(2012~23)|기존+기간평균패턴|26℃+,1.5,69,47,45,100.0,0.6811594202898551,0.5108695652173914,0.5838509316770186,2.127659574468085
장기(2012~23)|기존+기간평균패턴|여름전체,0.0,69,9,5,13.0,0.13043478260869565,0.6428571428571429,0.21686746987951808,1.4444444444444444
