obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-28,21.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-29,21.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-30,20.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-31,20.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-01,20.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-02,20.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-03,20.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-04,21.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-05,20.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-06,20.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-07,20.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-08,21.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-09,21.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-10,22.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-11,22.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-12,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-13,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-14,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-15,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-16,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-17,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-18,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-19,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-20,22.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-21,22.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-22,22.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-23,22.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-24,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-25,23.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-26,23.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-27,23.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-28,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-29,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-06-30,22.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-01,23.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-02,23.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-03,23.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-04,23.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-05,23.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-06,23.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-07,23.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-08,23.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-09,23.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-10,23.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-11,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-12,23.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-13,23.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-14,23.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-15,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-16,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-17,24.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-18,24.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-19,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-20,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-21,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-22,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-23,23.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-24,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-25,23.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-26,24.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-27,25.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-28,25.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-29,25.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-30,25.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-07-31,25.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-01,25.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-02,25.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-03,26.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-04,26.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-05,26.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-06,26.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-07,26.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-08,27.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-09,27.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-10,26.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-11,25.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-12,26.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-13,26.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-14,27.5
