region,h,config,n,rmse,rmse_25plus
통영,1,수온만|스냅샷,230,0.44006585653648767,0.40181555602460334
통영,1,수온만|패턴,230,0.4415996895073357,0.4144082066774625
통영,1,기온|스냅샷,230,0.43684130752177447,0.38058183605225226
통영,1,기온|패턴,230,0.4320227685975428,0.40073812514681256
통영,1,기온+풍속|스냅샷,230,0.43678570498850827,0.38220339152482385
통영,1,기온+풍속|패턴,230,0.44269722124867705,0.41585869402809195
통영,1,기온+풍속+강수|스냅샷,230,0.43611130394462094,0.3805813465034821
통영,1,기온+풍속+강수|패턴,230,0.44437753730534146,0.4091999380306952
통영,2,지속성(오늘값 유지),231,0.9301352133703545,1.0014275524755358
통영,2,수온만|스냅샷,231,0.7660485590213625,0.7511845454568712
통영,2,수온만|패턴,231,0.7611665883461658,0.7911875269594035
통영,2,기온|스냅샷,231,0.7601940916410099,0.712812846202694
통영,2,기온|패턴,231,0.7570189683935938,0.7739857865761844
통영,2,기온+풍속|스냅샷,231,0.7556734549448161,0.7121111193674339
통영,2,기온+풍속|패턴,231,0.7655555313181341,0.8047477759106958
통영,2,기온+풍속+강수|스냅샷,231,0.7573635012124864,0.7172446937656267
통영,2,기온+풍속+강수|패턴,231,0.7648209191455453,0.7772094047525674
통영,3,지속성(오늘값 유지),232,1.2754647564035573,1.4494826663330609
통영,3,수온만|스냅샷,232,1.073010076826942,1.1542163028072778
통영,3,수온만|패턴,232,1.049681415668118,1.2045512444861013
통영,3,기온|스냅샷,232,1.0674595400889733,1.0868362693652518
통영,3,기온|패턴,232,1.0420260827035424,1.172984525895593
통영,3,기온+풍속|스냅샷,232,1.0599113861554434,1.0837729290846114
통영,3,기온+풍속|패턴,232,1.039047265362175,1.1892442561834624
통영,3,기온+풍속+강수|스냅샷,232,1.0618605108603147,1.0888424668326937
통영,3,기온+풍속+강수|패턴,232,1.0270934513047258,1.120371811239128
통영,4,지속성(오늘값 유지),233,1.566672754378943,1.8352218437252412
통영,4,수온만|스냅샷,233,1.3337216477081666,1.5083444064754423
통영,4,수온만|패턴,233,1.2968127485331262,1.5705125937198745
통영,4,기온|스냅샷,233,1.3256716518963148,1.407106710073008
통영,4,기온|패턴,233,1.2814594232355343,1.51402677359787
통영,4,기온+풍속|스냅샷,233,1.3179005129567911,1.3990462890253863
통영,4,기온+풍속|패턴,233,1.269034586973565,1.4993271755828947
통영,4,기온+풍속+강수|스냅샷,233,1.3179127183996753,1.401347649623781
통영,4,기온+풍속+강수|패턴,233,1.249760414858356,1.3812515601325241
통영,5,지속성(오늘값 유지),234,1.8014951055677655,2.171272225429846
통영,5,수온만|스냅샷,234,1.5400969913295688,1.8712562218470128
통영,5,수온만|패턴,234,1.490972344168547,1.941797337759677
통영,5,기온|스냅샷,234,1.5252028240240945,1.7409048541431367
통영,5,기온|패턴,234,1.4654779693744868,1.848336148386826
통영,5,기온+풍속|스냅샷,234,1.5132107828395023,1.7164934956637068
통영,5,기온+풍속|패턴,234,1.4479671204120614,1.8027391246415077
통영,5,기온+풍속+강수|스냅샷,234,1.5114673472682334,1.7181718831894301
통영,5,기온+풍속+강수|패턴,234,1.4166363808683347,1.6431760690571047
통영,6,지속성(오늘값 유지),235,1.9851362566450714,2.4502213993148407
통영,6,수온만|스냅샷,235,1.6914932995348535,2.158403296662155
통영,6,수온만|패턴,235,1.637427008503695,2.220935841442745
통영,6,기온|스냅샷,235,1.6647974631412883,1.9978973664262696
통영,6,기온|패턴,235,1.60365931667391,2.0899885397530085
통영,6,기온+풍속|스냅샷,235,1.6541244847943806,1.9622593205353627
통영,6,기온+풍속|패턴,235,1.5902707470627238,2.019597104850148
통영,6,기온+풍속+강수|스냅샷,235,1.6524589662979354,1.9626359442028651
통영,6,기온+풍속+강수|패턴,235,1.5511603509331602,1.8201424006914442
통영,7,지속성(오늘값 유지),236,2.117961924082774,2.6858338935428794
통영,7,수온만|스냅샷,236,1.7797784457532273,2.3726166900075127
통영,7,수온만|패턴,236,1.7290361470245346,2.419214705841859
통영,7,기온|스냅샷,236,1.7378758554480989,2.1676899508313348
통영,7,기온|패턴,236,1.691288367917521,2.241794762730129
통영,7,기온+풍속|스냅샷,236,1.730308895492957,2.137359449478089
통영,7,기온+풍속|패턴,236,1.6818462097503648,2.1528638169869088
통영,7,기온+풍속+강수|스냅샷,236,1.7263265944046617,2.1347304882833056
통영,7,기온+풍속+강수|패턴,236,1.6383278114488768,1.9277787517708123
남해군,1,지속성(오늘값 유지),244,0.5952682271842518,0.5955644127186995
남해군,1,수온만|스냅샷,244,0.5858373573387312,0.595154769903307
남해군,1,수온만|패턴,244,0.5881660096338769,0.5925527999085879
남해군,1,기온|스냅샷,244,0.5798879869607494,0.5557345194276366
남해군,1,기온|패턴,244,0.5793917100308381,0.5557880495095368
남해군,1,기온+풍속|스냅샷,244,0.5749985239422553,0.5414208067210653
남해군,1,기온+풍속|패턴,244,0.580532902115495,0.5275694742629465
남해군,1,기온+풍속+강수|스냅샷,244,0.5736689965019249,0.5421051130588609
남해군,1,기온+풍속+강수|패턴,244,0.577223427161554,0.5312673147311554
남해군,2,지속성(오늘값 유지),244,0.869638138424988,0.918331820930394
남해군,2,수온만|스냅샷,244,0.8462334936248649,0.9020761997154577
남해군,2,수온만|패턴,244,0.8495632629362299,0.9128376041549584
남해군,2,기온|스냅샷,244,0.8271413019398848,0.8308848495998786
남해군,2,기온|패턴,244,0.8288699606346477,0.8208294129483273
남해군,2,기온+풍속|스냅샷,244,0.8250126229336502,0.8112062051993901
남해군,2,기온+풍속|패턴,244,0.8321049822979149,0.7808099135138166
남해군,2,기온+풍속+강수|스냅샷,244,0.8258934019805206,0.8128409580930009
남해군,2,기온+풍속+강수|패턴,244,0.8186462345350232,0.7768680865997787
남해군,3,지속성(오늘값 유지),244,1.0459915681570944,1.253902997553131
남해군,3,수온만|스냅샷,244,1.0061562356979425,1.1942639595345355
남해군,3,수온만|패턴,244,1.0090803716291041,1.2134097386341838
남해군,3,기온|스냅샷,244,0.974925149256973,1.0997392733796223
남해군,3,기온|패턴,244,0.9755887129849428,1.065483411410943
