code,name,최근접|직선,IDW|직선,크리깅|직선,최근접|바닷길,IDW|바닷길,크리깅|바닷길
fhyk7,해남 어란,0.5434756235790684,0.872505952549175,0.8720974539601181,0.5434756235790684,1.0080915912910913,0.8203105876396415
fjdl4,진도 도목,1.1254321544396069,1.1551484967898955,1.1913234399513275,1.1254321544396069,1.1038381370962764,1.1383303229689803
fjgl6,진도 금갑,1.582619482449748,1.0685185407097293,0.5644035276830313,1.582619482449748,1.0203035388170805,0.5390090967702814
fjhk9,진도 회동,0.48413903117158325,0.2750939639961071,0.2659308134571322,0.48413903117158325,0.2788637575833035,0.26717969725807517
fjil6,장흥 이진목,1.0273311266079108,0.32201087375269966,0.39697630241457227,1.0273311266079108,0.3080247432454258,0.3653071409027079
fjmm6,진도 모도,1.0769222017264888,0.6795965265501686,0.6936233026757952,1.0769222017264888,0.6929667716886944,0.6906991016494977
fjnk6,장흥 내저,0.6930736561839402,0.4824437127723296,0.42617681533684526,0.681327457119656,0.46156937762492123,0.42308118508583853
fjnka,장흥 노력,0.72319853444167,0.9769895534134514,0.7975101128977979,0.72319853444167,1.0174079730681065,0.814922959910341
fjskb,장흥 사촌,1.7705355225426473,2.379168801484704,2.0520240320070378,1.7705355225426473,2.425892332275278,2.120658442146148
fjsm6,진도 신전,0.8310205917307928,0.6625308696075147,0.6331094006820674,0.8310205917307928,0.645485877533286,0.6404287243162943
fnm5b,남해 미조,2.2659368199778096,2.0411579189531954,2.0594700529102052,2.1674350886215668,1.870196807458642,1.983739842731119
fth59,통영 학림,0.9105479043046113,0.5362400587331442,0.5133769101792128,0.9105479043046113,0.4837650558517588,0.4692236585343663
ftp4c,통영 풍화,0.9028254071784836,0.8647209653420783,0.837387008530795,0.9028254071784836,0.8020500399005142,0.8027319125233405
ftsj3,통영 수월,0.9028254071784836,0.8587139594932699,0.8187008145970753,0.9028254071784836,0.8226469878996489,0.8030905332523083
fwao4,완도 당목,0.9805145298104454,0.45080115044273367,0.4854206526503704,0.9805145298104454,0.41342925916431794,0.42600096476577565
fwbf1,완도 백도,0.6438924865585678,0.3865515252712615,0.43421300968173193,0.7760064609249464,0.43456406172712786,0.5268417611224151
fwbl6,완도 방축,1.6892410116767607,1.2976321533178463,1.4249795401395249,1.6892410116767607,1.3249450520987247,1.36264762020312
fwdf1,완도 동백,0.36881882056691684,0.41602823754331497,0.33898847670631577,0.36881882056691684,0.41523758897393953,0.3600717106169781
fwdk7,완도 동촌,0.5225587667149587,0.5372617767431065,0.5776147682666894,0.5225587667149587,0.5136344266603362,0.5503093929453351
fwdo4,완도 덕동,0.681327457119656,0.453483798090302,0.34197935554867,0.681327457119656,0.575201130377915,0.39407363169493176
fwdo5,완도 대창,0.8545787956840414,0.559232900568773,0.5391514079462708,0.5786668539573113,0.5745315195165956,0.4897122249476163
fwgf1,완도 가교,0.24509282283102196,0.2238669603169953,0.23673971715896114,0.24509282283102196,0.2218732001312403,0.24624790802486027
fwgk5,완도 군외,1.9908125063053297,1.4919767429819104,1.5316182038815631,1.9908125063053297,1.2904574733808531,1.5598197390711892
fwgk8,완도 고마,1.0653517816217566,0.7315265651360522,0.8495421829444263,1.0653517816217566,0.75885130826071,0.8445534640615244
fwgm6,완도 가학,0.7144018673066332,0.46680589829957375,0.3943010908127384,0.7144018673066332,0.5250805014138272,0.4307340946555124
fwho4,완도 회룡,1.0142873938775525,0.5102292288863961,0.8189281112092698,1.013395606498595,0.6821232500606943,0.6221179812237068
fwih6,완도 일정,0.6839800351798216,0.5411452604661985,0.45939562237833226,0.6839800351798216,0.6034586994388755,0.43451478698809304
fwio4,완도 당인,0.9326750450859225,0.9527294566986227,0.9073153566021804,0.9326750450859225,0.8413024761490148,0.8701578392248098
fwjl6,완도 중도,0.5318128085971399,0.9356952507779012,0.5952693876163692,0.5318128085971399,0.6920474843643287,0.5511529777331388
fwmg3,완도 망남,0.5318128085971399,0.7976718256889956,0.7409499797170342,0.5318128085971399,0.8112176317084775,0.7554760860216108
fwmk5,완도 미라,0.636757031069398,0.5773495093377516,0.5416541587438427,0.6856117298506212,0.5217392748031537,0.540571600306799
fwmo4,완도 모동,0.8585594694639577,0.40027728324288536,0.4090876215846165,0.8585594694639577,0.4105252335701325,0.3882217708320766
fwnm6,완도 내리,2.5466057036290675,2.099168060261545,2.1626901814047828,2.5466057036290675,2.0269786241748884,2.066378276298372
fwsl6,완도 신흥,1.3848905581032378,0.9185023884860369,0.9564476626281303,1.3848905581032378,0.6565302252259243,0.6965183065378211
fwsm6,완도 송곡,1.0096831734773655,1.7652344509975169,1.6363574764287991,1.0007650812865312,1.0841616951410866,1.2024399155097008
fwso5,완도 사동,0.8165375187663286,0.7260253026197683,0.622479177602233,0.8165375187663286,0.6818020648301782,0.6719452149440782
fwyl6,완도 예송,0.7914921579305597,0.9167818530238229,0.9454237421202922,0.7751042588077156,0.838038878956729,0.7851832450213825
fwyo4,완도 양지,0.5099753556672892,0.6158261992741189,0.5578803406997729,0.5099753556672892,0.5225976299737729,0.45781956143182584
fwyo5,완도 감목,0.3340431649735911,0.42477855492975886,0.2756157402545052,0.3340431649735911,0.43669724494450624,0.3373591875039489
fybm6,여수 나발,0.5008890351978126,0.43089792745767447,0.4584237843372401,0.5008890351978126,0.4292732977469097,0.4563928076342566
