obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,km001,여수 신월,여수 신월(km001),2022-08-24,24.8
남해,km001,여수 신월,여수 신월(km001),2022-08-25,24.7
남해,km001,여수 신월,여수 신월(km001),2022-08-26,24.8
남해,km001,여수 신월,여수 신월(km001),2022-08-27,24.7
남해,km001,여수 신월,여수 신월(km001),2022-08-28,24.4
남해,km001,여수 신월,여수 신월(km001),2022-08-29,23.9
남해,km001,여수 신월,여수 신월(km001),2022-08-30,23.6
남해,km001,여수 신월,여수 신월(km001),2022-08-31,23.4
남해,km001,여수 신월,여수 신월(km001),2022-09-01,23.4
남해,km001,여수 신월,여수 신월(km001),2022-09-02,23.1
남해,km001,여수 신월,여수 신월(km001),2022-09-03,22.8
남해,km001,여수 신월,여수 신월(km001),2022-09-04,
남해,km001,여수 신월,여수 신월(km001),2022-09-05,
남해,km001,여수 신월,여수 신월(km001),2022-09-06,
남해,km001,여수 신월,여수 신월(km001),2022-09-07,
남해,km001,여수 신월,여수 신월(km001),2022-09-08,
남해,km001,여수 신월,여수 신월(km001),2022-09-09,
남해,km001,여수 신월,여수 신월(km001),2022-09-10,
남해,km001,여수 신월,여수 신월(km001),2022-09-11,
남해,km001,여수 신월,여수 신월(km001),2022-09-12,
남해,km001,여수 신월,여수 신월(km001),2022-09-13,
남해,km001,여수 신월,여수 신월(km001),2022-09-14,
남해,km001,여수 신월,여수 신월(km001),2022-09-15,
남해,km001,여수 신월,여수 신월(km001),2022-09-16,
남해,km001,여수 신월,여수 신월(km001),2022-09-17,
남해,km001,여수 신월,여수 신월(km001),2022-09-18,
남해,km001,여수 신월,여수 신월(km001),2022-09-19,
남해,km001,여수 신월,여수 신월(km001),2022-09-20,
남해,km001,여수 신월,여수 신월(km001),2022-09-21,24.3
남해,km001,여수 신월,여수 신월(km001),2022-09-22,24.0
남해,km001,여수 신월,여수 신월(km001),2022-09-23,24.0
남해,km001,여수 신월,여수 신월(km001),2022-09-24,23.6
남해,km001,여수 신월,여수 신월(km001),2022-09-25,23.2
남해,km001,여수 신월,여수 신월(km001),2022-09-26,23.0
남해,km001,여수 신월,여수 신월(km001),2022-09-27,23.1
남해,km001,여수 신월,여수 신월(km001),2022-09-28,23.2
남해,km001,여수 신월,여수 신월(km001),2022-09-29,23.3
남해,km001,여수 신월,여수 신월(km001),2022-09-30,23.5
남해,km001,여수 신월,여수 신월(km001),2022-10-01,23.7
남해,km001,여수 신월,여수 신월(km001),2022-10-02,23.9
남해,km001,여수 신월,여수 신월(km001),2022-10-03,24.2
남해,km001,여수 신월,여수 신월(km001),2022-10-04,24.3
남해,km001,여수 신월,여수 신월(km001),2022-10-05,23.9
남해,km001,여수 신월,여수 신월(km001),2022-10-06,23.5
남해,km001,여수 신월,여수 신월(km001),2022-10-07,22.8
남해,km001,여수 신월,여수 신월(km001),2022-10-08,22.3
남해,km001,여수 신월,여수 신월(km001),2022-10-09,21.5
남해,km001,여수 신월,여수 신월(km001),2022-10-10,20.8
남해,km001,여수 신월,여수 신월(km001),2022-10-11,19.9
남해,km001,여수 신월,여수 신월(km001),2022-10-12,19.6
남해,km001,여수 신월,여수 신월(km001),2022-10-13,19.6
남해,km001,여수 신월,여수 신월(km001),2022-10-14,19.6
남해,km001,여수 신월,여수 신월(km001),2022-10-15,19.9
남해,km001,여수 신월,여수 신월(km001),2022-10-16,20.1
남해,km001,여수 신월,여수 신월(km001),2022-10-17,20.0
남해,km001,여수 신월,여수 신월(km001),2022-10-18,19.1
남해,km001,여수 신월,여수 신월(km001),2022-10-19,18.5
남해,km001,여수 신월,여수 신월(km001),2022-10-20,18.3
남해,km001,여수 신월,여수 신월(km001),2022-10-21,18.3
남해,km001,여수 신월,여수 신월(km001),2022-10-22,18.6
남해,km001,여수 신월,여수 신월(km001),2022-10-23,18.7
남해,km001,여수 신월,여수 신월(km001),2022-10-24,18.3
남해,km001,여수 신월,여수 신월(km001),2022-10-25,17.8
남해,km001,여수 신월,여수 신월(km001),2022-10-26,17.5
남해,km001,여수 신월,여수 신월(km001),2022-10-27,17.6
남해,km001,여수 신월,여수 신월(km001),2022-10-28,17.8
남해,km001,여수 신월,여수 신월(km001),2022-10-29,17.9
남해,km001,여수 신월,여수 신월(km001),2022-10-30,17.8
남해,km001,여수 신월,여수 신월(km001),2022-10-31,17.6
남해,km001,여수 신월,여수 신월(km001),2022-11-01,17.6
남해,km001,여수 신월,여수 신월(km001),2022-11-02,17.6
남해,km001,여수 신월,여수 신월(km001),2022-11-03,17.6
남해,km001,여수 신월,여수 신월(km001),2022-11-04,17.1
남해,km001,여수 신월,여수 신월(km001),2022-11-05,16.2
남해,km001,여수 신월,여수 신월(km001),2022-11-06,15.8
남해,km001,여수 신월,여수 신월(km001),2022-11-07,15.8
남해,km001,여수 신월,여수 신월(km001),2022-11-08,15.8
남해,km001,여수 신월,여수 신월(km001),2022-11-09,15.9
남해,km001,여수 신월,여수 신월(km001),2022-11-10,16.0
남해,km001,여수 신월,여수 신월(km001),2022-11-11,16.2
남해,km001,여수 신월,여수 신월(km001),2022-11-12,16.4
남해,km001,여수 신월,여수 신월(km001),2022-11-13,16.6
남해,km001,여수 신월,여수 신월(km001),2022-11-14,16.2
남해,km001,여수 신월,여수 신월(km001),2022-11-15,15.7
남해,km001,여수 신월,여수 신월(km001),2022-11-16,15.4
남해,km001,여수 신월,여수 신월(km001),2022-11-17,15.2
남해,km001,여수 신월,여수 신월(km001),2022-11-18,15.1
남해,km001,여수 신월,여수 신월(km001),2022-11-19,14.9
남해,km001,여수 신월,여수 신월(km001),2022-11-20,15.0
남해,km001,여수 신월,여수 신월(km001),2022-11-21,15.0
남해,km001,여수 신월,여수 신월(km001),2022-11-22,15.1
남해,km001,여수 신월,여수 신월(km001),2022-11-23,15.1
남해,km001,여수 신월,여수 신월(km001),2022-11-24,15.0
남해,km001,여수 신월,여수 신월(km001),2022-11-25,14.9
남해,km001,여수 신월,여수 신월(km001),2022-11-26,15.0
남해,km001,여수 신월,여수 신월(km001),2022-11-27,14.8
남해,km001,여수 신월,여수 신월(km001),2022-11-28,14.8
남해,km001,여수 신월,여수 신월(km001),2022-11-29,15.1
남해,km001,여수 신월,여수 신월(km001),2022-11-30,14.0
남해,km001,여수 신월,여수 신월(km001),2022-12-01,12.5
남해,km001,여수 신월,여수 신월(km001),2022-12-02,11.8
남해,km001,여수 신월,여수 신월(km001),2022-12-03,11.6
남해,km001,여수 신월,여수 신월(km001),2022-12-04,11.3
남해,km001,여수 신월,여수 신월(km001),2022-12-05,10.9
남해,km001,여수 신월,여수 신월(km001),2022-12-06,10.4
남해,km001,여수 신월,여수 신월(km001),2022-12-07,10.2
남해,km001,여수 신월,여수 신월(km001),2022-12-08,10.3
남해,km001,여수 신월,여수 신월(km001),2022-12-09,10.4
남해,km001,여수 신월,여수 신월(km001),2022-12-10,10.6
남해,km001,여수 신월,여수 신월(km001),2022-12-11,10.5
남해,km001,여수 신월,여수 신월(km001),2022-12-12,10.3
남해,km001,여수 신월,여수 신월(km001),2022-12-13,10.1
남해,km001,여수 신월,여수 신월(km001),2022-12-14,9.4
남해,km001,여수 신월,여수 신월(km001),2022-12-15,8.8
남해,km001,여수 신월,여수 신월(km001),2022-12-16,8.4
남해,km001,여수 신월,여수 신월(km001),2022-12-17,8.1
남해,km001,여수 신월,여수 신월(km001),2022-12-18,7.3
남해,km001,여수 신월,여수 신월(km001),2022-12-19,6.9
남해,km001,여수 신월,여수 신월(km001),2022-12-20,7.0
남해,km001,여수 신월,여수 신월(km001),2022-12-21,7.1
남해,km001,여수 신월,여수 신월(km001),2022-12-22,7.7
남해,km001,여수 신월,여수 신월(km001),2022-12-23,7.4
남해,km001,여수 신월,여수 신월(km001),2022-12-24,7.1
남해,km001,여수 신월,여수 신월(km001),2022-12-25,7.0
남해,km001,여수 신월,여수 신월(km001),2022-12-26,7.0
남해,km001,여수 신월,여수 신월(km001),2022-12-27,7.0
남해,km001,여수 신월,여수 신월(km001),2022-12-28,6.9
남해,km001,여수 신월,여수 신월(km001),2022-12-29,6.7
남해,km001,여수 신월,여수 신월(km001),2022-12-30,6.5
남해,km001,여수 신월,여수 신월(km001),2022-12-31,6.4
남해,km001,여수 신월,여수 신월(km001),2023-01-01,6.3
