date,temperature,climatology,anomaly,daily_jump,sustained_ge28,level,level_name,region
2021-04-07,14.1,13.764000000000001,0.3359999999999985,0.0,False,0.0,평시,완도
2021-04-08,14.3,13.969565217391308,0.33043478260869286,0.20000000000000107,False,0.0,평시,완도
2021-04-09,14.3,14.109090909090911,0.19090909090908958,0.0,False,0.0,평시,완도
2021-04-10,14.3,14.290476190476191,0.00952380952380949,0.0,False,0.0,평시,완도
2021-04-11,14.4,14.414285714285716,-0.014285714285716011,0.09999999999999964,False,0.0,평시,완도
2021-04-12,14.5,14.576190476190478,-0.0761904761904777,0.09999999999999964,False,0.0,평시,완도
2021-04-13,14.3,14.766666666666667,-0.4666666666666668,-0.1999999999999993,False,0.0,평시,완도
2021-04-14,13.8,14.91428571428572,-1.1142857142857192,-0.5,False,0.0,평시,완도
2021-04-15,13.9,15.052380952380956,-1.1523809523809554,0.09999999999999964,False,0.0,평시,완도
2021-04-16,14.3,15.185714285714287,-0.8857142857142861,0.40000000000000036,False,0.0,평시,완도
2021-04-17,14.6,15.328571428571427,-0.7285714285714278,0.29999999999999893,False,0.0,평시,완도
2021-04-18,14.2,15.48181818181818,-1.2818181818181813,-0.40000000000000036,False,0.0,평시,완도
2021-04-19,14.2,15.617391304347823,-1.4173913043478237,0.0,False,0.0,평시,완도
2021-04-20,14.6,15.720833333333337,-1.1208333333333371,0.40000000000000036,False,0.0,평시,완도
2021-04-21,15.2,15.880769230769229,-0.6807692307692292,0.5999999999999996,False,0.0,평시,완도
2021-04-22,15.6,15.982142857142858,-0.382142857142858,0.40000000000000036,False,0.0,평시,완도
2021-04-23,15.7,16.07,-0.370000000000001,0.09999999999999964,False,0.0,평시,완도
2021-04-24,16.2,16.109375,0.09062499999999929,0.5,False,0.0,평시,완도
2021-04-25,16.6,16.209090909090907,0.3909090909090942,0.40000000000000213,False,0.0,평시,완도
2021-04-26,16.5,16.279411764705884,0.22058823529411598,-0.10000000000000142,False,0.0,평시,완도
2021-04-27,16.2,16.323529411764707,-0.12352941176470722,-0.3000000000000007,False,0.0,평시,완도
2021-04-28,16.4,16.329411764705885,0.07058823529411384,0.1999999999999993,False,0.0,평시,완도
2021-04-29,16.6,16.33823529411765,0.2617647058823529,0.20000000000000284,False,0.0,평시,완도
2021-04-30,16.5,16.36176470588235,0.13823529411764923,-0.10000000000000142,False,0.0,평시,완도
2021-05-01,16.0,16.42941176470588,-0.42941176470587905,-0.5,False,0.0,평시,완도
2021-05-02,15.6,16.491176470588233,-0.891176470588233,-0.40000000000000036,False,0.0,평시,완도
2021-05-03,15.8,16.558823529411768,-0.7588235294117673,0.20000000000000107,False,0.0,평시,완도
2021-05-04,16.5,16.65142857142857,-0.15142857142857125,0.6999999999999993,False,0.0,평시,완도
2021-05-05,17.0,16.74,0.26000000000000156,0.5,False,0.0,평시,완도
2021-05-06,16.9,16.888571428571424,0.01142857142857423,-0.10000000000000142,False,0.0,평시,완도
2021-05-07,17.3,17.042857142857144,0.25714285714285623,0.40000000000000213,False,0.0,평시,완도
2021-05-08,17.2,17.171428571428574,0.028571428571424917,-0.10000000000000142,False,0.0,평시,완도
2021-05-09,17.5,17.28571428571429,0.21428571428571175,0.3000000000000007,False,0.0,평시,완도
2021-05-10,17.7,17.431428571428576,0.26857142857142335,0.1999999999999993,False,0.0,평시,완도
2021-05-11,17.5,17.58857142857143,-0.08857142857143074,-0.1999999999999993,False,0.0,평시,완도
2021-05-12,17.5,17.754285714285714,-0.25428571428571445,0.0,False,0.0,평시,완도
2021-05-13,18.5,17.86857142857143,0.6314285714285717,1.0,False,0.0,평시,완도
2021-05-14,18.9,17.965714285714288,0.9342857142857106,0.3999999999999986,False,0.0,평시,완도
2021-05-15,18.9,18.065714285714286,0.8342857142857127,0.0,False,0.0,평시,완도
2021-05-16,19.0,18.182857142857145,0.817142857142855,0.10000000000000142,False,0.0,평시,완도
2021-05-17,18.6,18.30857142857143,0.2914285714285718,-0.3999999999999986,False,0.0,평시,완도
2021-05-18,18.2,18.425714285714285,-0.22571428571428598,-0.40000000000000213,False,0.0,평시,완도
2021-05-19,18.7,18.561764705882357,0.13823529411764213,0.5,False,0.0,평시,완도
2021-05-20,18.9,18.736363636363635,0.16363636363636402,0.1999999999999993,False,0.0,평시,완도
2021-05-21,18.6,18.896875,-0.296875,-0.29999999999999716,False,0.0,평시,완도
2021-05-22,,19.09677419354839,,,False,,판정불가,완도
2021-05-23,,19.28333333333334,,,False,,판정불가,완도
2021-05-24,,19.44827586206896,,,False,,판정불가,완도
